Category,Product,URL
foundation-makeup,Too Faced Peach Perfect Comfort Matte Foundation – Peaches and Cream Collection,https://www.sephora.com/product/peach-perfect-comfort-moisture-matte-foundation-peaches-cream-collection-P422601?skuId=2203396&icid2=products%20grid:p422601
foundation-makeup,FENTY BEAUTY by Rihanna Pro Filt'r Soft Matte Longwear Foundation,https://www.sephora.com/product/pro-filtr-soft-matte-longwear-foundation-P87985432?icid2=products%20grid:p87985432
foundation-makeup,Armani Beauty Luminous Silk Perfect Glow Flawless Oil-Free Foundation,https://www.sephora.com/product/luminous-silk-foundation-P393401?icid2=products%20grid:p393401
foundation-makeup,Estée Lauder Double Wear Stay-in-Place Foundation,https://www.sephora.com/product/double-wear-stay-in-place-makeup-P378284?icid2=products%20grid:p378284
foundation-makeup,MAKE UP FOR EVER Ultra HD Invisible Cover Foundation,https://www.sephora.com/product/ultra-hd-invisible-cover-foundation-P398321?icid2=products%20grid:p398321
foundation-makeup,ILIA Super Serum Skin Tint SPF 40 Foundation,https://www.sephora.com/product/ilia-super-serum-skin-tint-spf-40-P455418?icid2=products%20grid:p455418
foundation-makeup,NARS Soft Matte Complete Foundation,https://www.sephora.com/product/nars-soft-matte-complete-foundation-P462720?icid2=products%20grid:p462720
foundation-makeup,IT Cosmetics CC+ Cream with SPF 50+,https://www.sephora.com/product/your-skin-but-better-cc-cream-spf-50-P411885?icid2=products%20grid:p411885
foundation-makeup,bareMinerals COMPLEXION RESCUE™ Tinted Moisturizer with Hyaluronic Acid and Mineral SPF 30,https://www.sephora.com/product/complexion-rescue-tinted-hydrating-gel-cream-P393356?icid2=products%20grid:p393356
foundation-makeup,Too Faced Born This Way Foundation,https://www.sephora.com/product/born-this-way-P397517?icid2=products%20grid:p397517
foundation-makeup,HUDA BEAUTY #FauxFilter Skin Finish Buildable Coverage Foundation Stick,https://www.sephora.com/product/huda-beauty-fauxfilter-skin-finish-buildable-coverage-foundation-stick-P465324?icid2=products%20grid:p465324
foundation-makeup,Rare Beauty by Selena Gomez Liquid Touch Weightless Foundation,https://www.sephora.com/product/rare-beauty-by-selena-gomez-liquid-touch-weightless-foundation-P49848448?icid2=products%20grid:p49848448
foundation-makeup,bareMinerals Original Loose Powder Mineral Foundation SPF 15,https://www.sephora.com/product/bareminerals-original-foundation-broad-spectrum-spf-15-P61003?icid2=products%20grid:p61003
foundation-makeup,NARS Natural Radiant Longwear Foundation,https://www.sephora.com/product/natural-radiant-longwear-foundation-P427301?icid2=products%20grid:p427301
foundation-makeup,tarte Amazonian Clay Full Coverage Foundation SPF 15,https://www.sephora.com/product/amazonian-clay-12-hour-full-coverage-foundation-spf-15-P302918?icid2=products%20grid:p302918
foundation-makeup,Lancôme Teint Idole Ultra Long Wear Foundation,https://www.sephora.com/product/teint-idole-ultra-24h-long-wear-foundation-P308201?icid2=products%20grid:p308201
foundation-makeup,Laura Mercier Tinted Moisturizer Broad Spectrum SPF 20 - Oil Free,https://www.sephora.com/product/tinted-moisturizer-broad-spectrum-oil-free-P140906?icid2=products%20grid:p140906
foundation-makeup,Laura Mercier Tinted Moisturizer Natural Skin Perfector Broad Spectrum SPF 30,https://www.sephora.com/product/tinted-moisturizer-broad-spectrum-P109936?icid2=products%20grid:p109936
foundation-makeup,BECCA Cosmetics Ultimate Coverage 24 Hour Foundation,https://www.sephora.com/product/ultimate-coverage-complexion-creme-P384640?icid2=products%20grid:p384640
foundation-makeup,Dior Dior Airflash Spray Foundation,https://www.sephora.com/product/diorskin-airflash-spray-foundation-P104914?icid2=products%20grid:p104914
foundation-makeup,MAKE UP FOR EVER Matte Velvet Skin Blurring Powder Foundation,https://www.sephora.com/product/matte-velvet-skin-blurring-powder-foundation-P443566?icid2=products%20grid:p443566
foundation-makeup,CLINIQUE Even Better Foundation Makeup Broad Spectrum SPF 15,https://www.sephora.com/product/even-better-makeup-spf-15-P234967?icid2=products%20grid:p234967
foundation-makeup,SEPHORA COLLECTION Matte Perfection Powder Foundation,https://www.sephora.com/product/matte-perfection-powder-foundation-P408606?icid2=products%20grid:p408606
foundation-makeup,SEPHORA COLLECTION 10 Hour Wear Perfection Foundation,https://www.sephora.com/product/10-hr-wear-perfection-foundation-P379509?icid2=products%20grid:p379509
foundation-makeup,NARS Sheer Glow Foundation,https://www.sephora.com/product/sheer-glow-foundation-P247355?icid2=products%20grid:p247355
foundation-makeup,bareMinerals BAREPRO Longwear Powder Foundation,https://www.sephora.com/product/barepro-performance-wear-powder-foundation-P410543?icid2=products%20grid:p410543
foundation-makeup,KVD Vegan Beauty Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138
foundation-makeup,Dior BACKSTAGE Face & Body Foundation,https://www.sephora.com/product/backstage-face-body-foundation-P432500?icid2=products%20grid:p432500
foundation-makeup,NARS Pure Radiant Tinted Moisturizer Broad Spectrum SPF 30,https://www.sephora.com/product/pure-radiant-tinted-moisturizer-spf-30-pa-P302923?icid2=products%20grid:p302923
foundation-makeup,Marc Jacobs Beauty Re(marc)able Full Cover Foundation Concentrate,https://www.sephora.com/product/re-marc-able-full-coverage-foundation-concentrate-P398803?icid2=products%20grid:p398803
foundation-makeup,beautyblender Bounce™ Liquid Whip Long Wear Foundation,https://www.sephora.com/product/bounce-liquid-whip-longwear-foundation-P433987?icid2=products%20grid:p433987
foundation-makeup,MAKE UP FOR EVER Reboot Active Care Revitalizing Foundation,https://www.sephora.com/product/make-up-for-ever-reboot-foundation-P454035?icid2=products%20grid:p454035
foundation-makeup,KVD Vegan Beauty True Portrait Medium Coverage Shake Foundation,https://www.sephora.com/product/true-portrait-foundation-P449086?icid2=products%20grid:p449086
foundation-makeup,FENTY BEAUTY by Rihanna Pro Filt'r Hydrating Longwear Foundation,https://www.sephora.com/product/pro-filt-r-hydrating-longwear-foundation-P448702?icid2=products%20grid:p448702
foundation-makeup,CLINIQUE Beyond Perfecting Foundation + Concealer,https://www.sephora.com/product/beyond-perfecting-foundation-concealer-P393325?icid2=products%20grid:p393325
